x,y
3.0,104.0
5.0,103.0
7.0,102.0
9.0,101.0
11.0,100.0
13.0,99.0
16.0,101.0
19.0,103.0
22.0,102.0
25.0,101.0
28.0,100.0
31.0,100.0
34.0,102.0
37.0,101.0
40.0,101.0
43.0,102.0
44.0,103.0
47.0,103.0
50.0,99.0
53.0,98.0
54.0,98.0
57.0,99.0
60.0,96.0
62.0,93.0
65.0,94.0
67.0,96.0
70.0,99.0
73.0,103.0
74.0,104.0
75.0,105.0
78.0,103.0
81.0,101.0
83.0,103.0
86.0,105.0
89.0,104.0
92.0,100.0
93.0,98.0
96.0,105.0
98.0,119.0
101.0,134.0
102.0,131.0
105.0,122.0
106.0,122.0
109.0,118.0
111.0,112.0
114.0,102.0
117.0,103.0
120.0,105.0
123.0,103.0
125.0,102.0
127.0,103.0
130.0,105.0
132.0,103.0
135.0,100.0
138.0,102.0
141.0,104.0
144.0,103.0
147.0,101.0
149.0,102.0
151.0,103.0
153.0,103.0
156.0,102.0
158.0,101.0
161.0,104.0
164.0,104.0
165.0,104.0
168.0,105.0
170.0,106.0
173.0,104.0
176.0,103.0
178.0,104.0
181.0,101.0
183.0,99.0
185.0,100.0
188.0,102.0
191.0,102.0
193.0,102.0
195.0,102.0
198.0,102.0
200.0,102.0
203.0,104.0
206.0,104.0
209.0,102.0
211.0,102.0
214.0,103.0
217.0,102.0
220.0,102.0
223.0,101.0
226.0,100.0
228.0,101.0
231.0,102.0
232.0,102.0
235.0,101.0
237.0,100.0
240.0,100.0
243.0,102.0
245.0,101.0
248.0,101.0
251.0,102.0
254.0,103.0
257.0,103.0
259.0,103.0
262.0,102.0
265.0,101.0
268.0,99.0
271.0,99.0
272.0,99.0
275.0,95.0
276.0,94.0
279.0,94.0
281.0,96.0
284.0,99.0
287.0,101.0
290.0,102.0
293.0,103.0
295.0,102.0
298.0,101.0
299.0,102.0
302.0,106.0
305.0,104.0
306.0,103.0
309.0,98.0
310.0,96.0
313.0,108.0
316.0,124.0
318.0,125.0
321.0,127.0
324.0,127.0
326.0,118.0
329.0,103.0
332.0,102.0
335.0,102.0
338.0,101.0
341.0,102.0
344.0,101.0
346.0,100.0
349.0,100.0
352.0,101.0
354.0,100.0
357.0,101.0
358.0,102.0
361.0,103.0
364.0,101.0
366.0,101.0
369.0,102.0
372.0,103.0
375.0,102.0
377.0,101.0
380.0,103.0
383.0,104.0
384.0,104.0
387.0,103.0
389.0,103.0
392.0,103.0
395.0,101.0
398.0,98.0
400.0,99.0
403.0,101.0
405.0,103.0
408.0,104.0
409.0,104.0
412.0,102.0
415.0,102.0
418.0,104.0
420.0,104.0
423.0,103.0
424.0,103.0
426.0,103.0
428.0,103.0
431.0,104.0
433.0,103.0
436.0,102.0
437.0,102.0
440.0,102.0
442.0,101.0
445.0,101.0
448.0,101.0
451.0,101.0
454.0,102.0
457.0,101.0
460.0,101.0
463.0,102.0
466.0,101.0
469.0,100.0
472.0,102.0
473.0,103.0
476.0,103.0
478.0,101.0
481.0,100.0
482.0,100.0
485.0,99.0
488.0,98.0
490.0,97.0
492.0,96.0
495.0,96.0
498.0,98.0
500.0,98.0
503.0,99.0
506.0,100.0
508.0,99.0
511.0,101.0
514.0,103.0
516.0,104.0
519.0,106.0
522.0,102.0
525.0,94.0
528.0,102.0
529.0,108.0
530.0,114.0
533.0,132.0
536.0,133.0
538.0,134.0
541.0,123.0
544.0,109.0
547.0,101.0
550.0,100.0
551.0,100.0
554.0,101.0
556.0,101.0
559.0,102.0
562.0,103.0
563.0,103.0
566.0,102.0
567.0,102.0
570.0,101.0
573.0,100.0
576.0,101.0
579.0,100.0
582.0,101.0
585.0,103.0
588.0,101.0
591.0,100.0
594.0,102.0
597.0,104.0
600.0,103.0
601.0,102.0
604.0,104.0
606.0,105.0
609.0,104.0
611.0,103.0
613.0,102.0
616.0,102.0
617.0,102.0
620.0,103.0
622.0,102.0
625.0,102.0
626.0,102.0
629.0,101.0
631.0,100.0
633.0,101.0
636.0,103.0
639.0,103.0
641.0,102.0
