x,y
2.0,119.0
3.0,119.0
6.0,119.0
9.0,118.0
11.0,117.0
14.0,117.0
17.0,117.0
19.0,117.0
22.0,117.0
23.0,117.0
25.0,117.0
28.0,118.0
31.0,119.0
34.0,119.0
36.0,119.0
39.0,119.0
42.0,120.0
45.0,121.0
48.0,120.0
51.0,119.0
54.0,118.0
57.0,117.0
59.0,116.0
62.0,115.0
65.0,117.0
68.0,119.0
71.0,119.0
74.0,119.0
75.0,120.0
78.0,122.0
81.0,121.0
83.0,121.0
86.0,121.0
89.0,122.0
91.0,124.0
94.0,116.0
96.0,90.0
99.0,50.0
102.0,95.0
105.0,188.0
108.0,183.0
110.0,158.0
112.0,132.0
115.0,122.0
118.0,121.0
120.0,121.0
123.0,120.0
125.0,119.0
128.0,118.0
129.0,118.0
132.0,117.0
134.0,116.0
137.0,115.0
139.0,115.0
142.0,114.0
145.0,113.0
148.0,110.0
150.0,108.0
153.0,106.0
156.0,102.0
158.0,99.0
160.0,96.0
162.0,93.0
165.0,89.0
168.0,86.0
170.0,86.0
173.0,85.0
176.0,87.0
179.0,92.0
181.0,96.0
182.0,98.0
183.0,100.0
186.0,106.0
188.0,109.0
190.0,112.0
193.0,115.0
196.0,116.0
197.0,116.0
199.0,116.0
202.0,117.0
205.0,118.0
206.0,118.0
208.0,118.0
211.0,117.0
213.0,117.0
215.0,117.0
218.0,116.0
221.0,117.0
222.0,117.0
225.0,116.0
226.0,116.0
228.0,116.0
231.0,116.0
233.0,116.0
235.0,116.0
237.0,116.0
239.0,116.0
242.0,117.0
245.0,118.0
246.0,118.0
249.0,118.0
251.0,118.0
254.0,119.0
256.0,119.0
258.0,119.0
261.0,120.0
264.0,119.0
267.0,118.0
270.0,117.0
273.0,116.0
275.0,115.0
278.0,115.0
281.0,116.0
284.0,117.0
286.0,118.0
289.0,119.0
292.0,120.0
293.0,120.0
296.0,120.0
299.0,121.0
302.0,122.0
304.0,122.0
307.0,123.0
310.0,122.0
312.0,96.0
314.0,70.0
317.0,69.0
320.0,169.0
323.0,188.0
325.0,164.0
328.0,127.0
331.0,122.0
333.0,121.0
336.0,120.0
339.0,119.0
342.0,118.0
344.0,117.0
347.0,116.0
350.0,117.0
353.0,116.0
356.0,115.0
359.0,115.0
362.0,113.0
365.0,111.0
368.0,109.0
371.0,106.0
374.0,101.0
377.0,96.0
379.0,93.0
382.0,90.0
385.0,87.0
388.0,86.0
391.0,88.0
394.0,93.0
397.0,98.0
400.0,103.0
403.0,108.0
404.0,110.0
407.0,114.0
410.0,115.0
413.0,116.0
414.0,116.0
417.0,116.0
420.0,117.0
423.0,118.0
426.0,117.0
429.0,116.0
431.0,116.0
434.0,116.0
437.0,116.0
440.0,115.0
443.0,115.0
446.0,116.0
449.0,116.0
452.0,116.0
455.0,117.0
458.0,116.0
461.0,117.0
464.0,118.0
467.0,118.0
470.0,118.0
473.0,119.0
475.0,120.0
477.0,120.0
479.0,119.0
481.0,118.0
483.0,117.0
486.0,116.0
489.0,115.0
492.0,114.0
495.0,115.0
498.0,116.0
500.0,116.0
503.0,117.0
506.0,118.0
509.0,119.0
512.0,120.0
514.0,120.0
517.0,120.0
520.0,121.0
523.0,123.0
526.0,117.0
529.0,74.0
531.0,45.0
534.0,87.0
535.0,118.0
537.0,180.0
540.0,178.0
542.0,155.0
544.0,131.0
547.0,122.0
549.0,121.0
552.0,120.0
553.0,120.0
556.0,119.0
559.0,118.0
560.0,118.0
563.0,118.0
566.0,117.0
569.0,116.0
572.0,115.0
575.0,114.0
578.0,113.0
580.0,112.0
583.0,110.0
586.0,107.0
588.0,105.0
591.0,101.0
594.0,97.0
597.0,93.0
600.0,89.0
603.0,87.0
606.0,89.0
609.0,91.0
612.0,95.0
614.0,99.0
616.0,103.0
618.0,107.0
621.0,110.0
624.0,113.0
627.0,115.0
630.0,116.0
632.0,116.0
635.0,116.0
638.0,116.0
641.0,116.0
