x,y
3.0,88.0
4.0,88.0
7.0,88.0
10.0,88.0
11.0,88.0
12.0,88.0
13.0,88.0
14.0,88.0
15.0,88.0
18.0,89.0
20.0,89.0
22.0,89.0
25.0,88.0
28.0,87.0
31.0,88.0
34.0,89.0
35.0,89.0
38.0,89.0
41.0,88.0
44.0,88.0
47.0,88.0
50.0,88.0
52.0,89.0
54.0,90.0
57.0,92.0
60.0,94.0
62.0,95.0
64.0,96.0
66.0,97.0
69.0,95.0
71.0,92.0
74.0,88.0
77.0,86.0
80.0,84.0
83.0,83.0
86.0,83.0
88.0,83.0
91.0,80.0
93.0,74.0
96.0,81.0
98.0,110.0
100.0,139.0
103.0,131.0
106.0,95.0
109.0,81.0
111.0,82.0
114.0,83.0
117.0,82.0
120.0,82.0
123.0,83.0
126.0,83.0
129.0,84.0
132.0,84.0
134.0,84.0
137.0,85.0
139.0,86.0
141.0,87.0
143.0,87.0
145.0,87.0
148.0,88.0
150.0,89.0
153.0,91.0
156.0,93.0
158.0,94.0
161.0,97.0
164.0,101.0
165.0,102.0
168.0,105.0
169.0,106.0
172.0,108.0
174.0,107.0
176.0,106.0
179.0,103.0
182.0,99.0
184.0,96.0
187.0,94.0
190.0,92.0
193.0,91.0
196.0,89.0
199.0,87.0
202.0,88.0
205.0,89.0
208.0,87.0
211.0,87.0
214.0,88.0
216.0,88.0
219.0,87.0
222.0,86.0
225.0,86.0
228.0,88.0
231.0,89.0
234.0,88.0
237.0,88.0
239.0,88.0
241.0,88.0
244.0,87.0
246.0,86.0
249.0,86.0
252.0,87.0
255.0,87.0
257.0,87.0
259.0,87.0
261.0,87.0
264.0,87.0
267.0,89.0
270.0,91.0
273.0,92.0
276.0,93.0
278.0,95.0
281.0,97.0
284.0,96.0
287.0,93.0
288.0,92.0
289.0,91.0
290.0,90.0
291.0,89.0
292.0,88.0
293.0,87.0
296.0,83.0
299.0,83.0
301.0,83.0
304.0,84.0
307.0,82.0
309.0,77.0
312.0,78.0
315.0,111.0
318.0,145.0
321.0,107.0
322.0,94.0
325.0,85.0
328.0,85.0
330.0,84.0
333.0,83.0
336.0,82.0
339.0,83.0
342.0,84.0
343.0,84.0
345.0,84.0
348.0,83.0
349.0,83.0
352.0,84.0
355.0,85.0
358.0,86.0
360.0,86.0
362.0,86.0
365.0,86.0
366.0,87.0
369.0,90.0
372.0,92.0
375.0,94.0
378.0,98.0
381.0,103.0
384.0,105.0
385.0,105.0
388.0,106.0
391.0,107.0
392.0,107.0
395.0,104.0
396.0,103.0
397.0,102.0
400.0,98.0
403.0,94.0
405.0,92.0
408.0,91.0
411.0,89.0
413.0,87.0
416.0,86.0
417.0,86.0
420.0,87.0
421.0,87.0
423.0,87.0
426.0,88.0
428.0,88.0
430.0,88.0
433.0,88.0
436.0,88.0
438.0,88.0
441.0,86.0
444.0,86.0
447.0,88.0
449.0,88.0
451.0,88.0
453.0,88.0
456.0,87.0
458.0,87.0
460.0,87.0
462.0,87.0
465.0,88.0
468.0,87.0
471.0,87.0
474.0,88.0
477.0,87.0
479.0,86.0
482.0,88.0
483.0,89.0
486.0,90.0
488.0,90.0
491.0,93.0
492.0,94.0
495.0,96.0
496.0,96.0
499.0,96.0
500.0,96.0
503.0,94.0
506.0,90.0
509.0,86.0
510.0,85.0
513.0,84.0
514.0,84.0
516.0,84.0
519.0,84.0
522.0,82.0
525.0,75.0
528.0,81.0
530.0,111.0
531.0,126.0
532.0,141.0
535.0,143.0
536.0,131.0
539.0,94.0
542.0,86.0
543.0,86.0
546.0,85.0
549.0,84.0
551.0,83.0
553.0,82.0
556.0,83.0
559.0,83.0
562.0,83.0
565.0,84.0
567.0,85.0
569.0,85.0
572.0,84.0
575.0,85.0
578.0,86.0
580.0,87.0
582.0,88.0
585.0,89.0
588.0,92.0
589.0,93.0
592.0,96.0
595.0,99.0
598.0,102.0
601.0,104.0
604.0,107.0
607.0,108.0
610.0,105.0
611.0,104.0
614.0,101.0
617.0,97.0
620.0,94.0
623.0,90.0
626.0,89.0
629.0,88.0
632.0,88.0
635.0,87.0
638.0,88.0
641.0,88.0
