x,y
3.0,96.0
6.0,95.0
9.0,94.0
12.0,94.0
13.0,94.0
14.0,94.0
17.0,94.0
20.0,95.0
23.0,96.0
25.0,96.0
26.0,96.0
28.0,96.0
31.0,95.0
34.0,95.0
36.0,95.0
38.0,95.0
40.0,95.0
42.0,95.0
44.0,95.0
47.0,96.0
50.0,96.0
52.0,96.0
55.0,97.0
57.0,98.0
60.0,100.0
61.0,101.0
62.0,102.0
65.0,104.0
68.0,102.0
71.0,98.0
74.0,95.0
77.0,93.0
80.0,92.0
83.0,91.0
86.0,91.0
88.0,92.0
91.0,84.0
93.0,76.0
96.0,84.0
99.0,122.0
100.0,135.0
103.0,141.0
106.0,120.0
109.0,101.0
112.0,94.0
114.0,91.0
117.0,90.0
120.0,90.0
123.0,89.0
126.0,89.0
127.0,89.0
130.0,90.0
133.0,89.0
136.0,90.0
139.0,90.0
141.0,90.0
143.0,90.0
145.0,90.0
148.0,91.0
151.0,92.0
153.0,92.0
155.0,92.0
158.0,93.0
161.0,96.0
163.0,98.0
166.0,100.0
169.0,102.0
171.0,103.0
173.0,103.0
175.0,103.0
178.0,102.0
180.0,101.0
182.0,100.0
185.0,98.0
188.0,97.0
191.0,96.0
194.0,95.0
197.0,94.0
198.0,94.0
201.0,95.0
204.0,95.0
207.0,94.0
210.0,93.0
212.0,93.0
214.0,93.0
217.0,94.0
220.0,94.0
223.0,93.0
226.0,93.0
229.0,94.0
232.0,94.0
234.0,94.0
236.0,94.0
238.0,94.0
240.0,94.0
242.0,94.0
244.0,94.0
247.0,94.0
250.0,95.0
252.0,94.0
255.0,93.0
258.0,94.0
261.0,94.0
264.0,95.0
266.0,96.0
268.0,97.0
270.0,98.0
272.0,99.0
274.0,100.0
277.0,102.0
280.0,104.0
283.0,103.0
286.0,101.0
289.0,98.0
292.0,95.0
295.0,93.0
298.0,92.0
300.0,92.0
303.0,93.0
306.0,89.0
307.0,86.0
309.0,80.0
312.0,80.0
314.0,114.0
316.0,148.0
319.0,142.0
322.0,120.0
325.0,100.0
328.0,94.0
329.0,92.0
332.0,90.0
334.0,89.0
337.0,88.0
338.0,88.0
341.0,89.0
343.0,89.0
346.0,89.0
348.0,89.0
350.0,89.0
353.0,88.0
356.0,89.0
359.0,90.0
360.0,90.0
362.0,90.0
364.0,90.0
367.0,91.0
370.0,93.0
372.0,93.0
374.0,93.0
377.0,96.0
378.0,97.0
379.0,98.0
382.0,100.0
384.0,101.0
387.0,103.0
390.0,104.0
391.0,104.0
393.0,104.0
396.0,102.0
399.0,100.0
402.0,98.0
405.0,96.0
407.0,96.0
409.0,96.0
411.0,96.0
413.0,96.0
415.0,96.0
417.0,96.0
420.0,95.0
423.0,96.0
424.0,96.0
426.0,96.0
429.0,95.0
432.0,94.0
433.0,94.0
435.0,94.0
437.0,94.0
440.0,95.0
441.0,95.0
444.0,94.0
446.0,94.0
448.0,94.0
451.0,95.0
453.0,95.0
455.0,95.0
458.0,95.0
460.0,95.0
462.0,95.0
465.0,96.0
466.0,96.0
469.0,95.0
470.0,95.0
473.0,96.0
475.0,96.0
478.0,95.0
481.0,96.0
484.0,97.0
487.0,98.0
490.0,100.0
493.0,102.0
494.0,103.0
497.0,105.0
500.0,104.0
502.0,102.0
505.0,98.0
508.0,94.0
511.0,93.0
513.0,93.0
515.0,93.0
518.0,92.0
519.0,92.0
522.0,87.0
525.0,76.0
528.0,82.0
530.0,111.0
533.0,155.0
536.0,147.0
539.0,120.0
542.0,98.0
545.0,92.0
547.0,90.0
550.0,89.0
553.0,89.0
555.0,89.0
558.0,88.0
561.0,88.0
564.0,88.0
567.0,88.0
570.0,88.0
573.0,88.0
576.0,88.0
579.0,89.0
581.0,90.0
584.0,91.0
586.0,91.0
589.0,91.0
590.0,92.0
593.0,94.0
595.0,95.0
598.0,97.0
601.0,99.0
603.0,101.0
606.0,103.0
609.0,102.0
612.0,101.0
614.0,100.0
616.0,99.0
618.0,98.0
621.0,96.0
624.0,95.0
627.0,96.0
628.0,96.0
631.0,95.0
634.0,95.0
637.0,95.0
640.0,94.0
