x,y
3.0,76.0
6.0,76.0
7.0,76.0
10.0,75.0
12.0,74.0
14.0,73.0
17.0,74.0
20.0,75.0
21.0,75.0
23.0,75.0
25.0,75.0
27.0,75.0
30.0,76.0
33.0,77.0
36.0,77.0
38.0,77.0
40.0,77.0
42.0,77.0
45.0,78.0
48.0,77.0
51.0,76.0
54.0,75.0
57.0,76.0
59.0,76.0
62.0,76.0
64.0,78.0
66.0,80.0
69.0,81.0
72.0,80.0
75.0,79.0
76.0,79.0
79.0,79.0
82.0,79.0
85.0,78.0
88.0,78.0
89.0,78.0
92.0,72.0
94.0,53.0
96.0,34.0
99.0,49.0
101.0,103.0
104.0,184.0
107.0,169.0
109.0,136.0
112.0,87.0
115.0,76.0
118.0,75.0
121.0,74.0
124.0,74.0
126.0,74.0
129.0,73.0
132.0,72.0
135.0,71.0
138.0,71.0
140.0,71.0
143.0,70.0
145.0,69.0
147.0,68.0
150.0,66.0
153.0,64.0
156.0,62.0
159.0,60.0
160.0,59.0
163.0,57.0
166.0,56.0
169.0,58.0
172.0,59.0
175.0,60.0
177.0,62.0
178.0,63.0
179.0,64.0
180.0,65.0
181.0,66.0
182.0,67.0
183.0,68.0
184.0,69.0
187.0,71.0
190.0,73.0
193.0,75.0
195.0,75.0
197.0,75.0
199.0,75.0
201.0,75.0
204.0,76.0
205.0,76.0
208.0,75.0
210.0,75.0
212.0,75.0
215.0,74.0
217.0,74.0
220.0,75.0
221.0,75.0
224.0,74.0
226.0,73.0
228.0,74.0
231.0,75.0
232.0,75.0
235.0,74.0
238.0,75.0
241.0,74.0
244.0,75.0
246.0,76.0
249.0,77.0
250.0,77.0
253.0,76.0
255.0,76.0
258.0,77.0
261.0,78.0
263.0,77.0
265.0,76.0
268.0,75.0
271.0,75.0
273.0,75.0
275.0,75.0
278.0,76.0
280.0,78.0
283.0,79.0
286.0,80.0
289.0,79.0
292.0,78.0
295.0,77.0
298.0,77.0
299.0,78.0
302.0,79.0
305.0,78.0
308.0,75.0
310.0,58.0
312.0,41.0
315.0,59.0
316.0,87.0
319.0,172.0
322.0,182.0
324.0,146.0
327.0,91.0
330.0,78.0
333.0,76.0
336.0,74.0
339.0,73.0
340.0,73.0
343.0,73.0
346.0,71.0
349.0,71.0
352.0,71.0
354.0,70.0
357.0,69.0
359.0,69.0
361.0,68.0
363.0,67.0
365.0,66.0
367.0,65.0
370.0,63.0
373.0,60.0
376.0,57.0
379.0,56.0
381.0,56.0
384.0,55.0
387.0,56.0
389.0,58.0
391.0,60.0
394.0,64.0
397.0,66.0
400.0,68.0
402.0,70.0
405.0,73.0
408.0,74.0
411.0,74.0
414.0,74.0
417.0,75.0
420.0,76.0
421.0,76.0
424.0,76.0
427.0,75.0
430.0,76.0
433.0,75.0
436.0,74.0
439.0,75.0
442.0,73.0
445.0,73.0
447.0,73.0
450.0,74.0
453.0,75.0
456.0,75.0
459.0,75.0
462.0,75.0
465.0,76.0
468.0,76.0
471.0,76.0
474.0,77.0
477.0,77.0
480.0,77.0
483.0,76.0
486.0,75.0
487.0,75.0
490.0,74.0
493.0,75.0
496.0,77.0
498.0,79.0
500.0,79.0
503.0,79.0
506.0,78.0
509.0,77.0
512.0,78.0
515.0,78.0
518.0,78.0
520.0,79.0
523.0,77.0
526.0,54.0
528.0,38.0
531.0,43.0
534.0,126.0
535.0,154.0
536.0,182.0
539.0,173.0
541.0,139.0
544.0,88.0
547.0,77.0
550.0,76.0
553.0,75.0
556.0,73.0
559.0,72.0
562.0,73.0
565.0,72.0
568.0,71.0
571.0,70.0
574.0,69.0
576.0,68.0
579.0,67.0
582.0,66.0
585.0,64.0
586.0,63.0
589.0,60.0
591.0,58.0
594.0,56.0
597.0,55.0
600.0,54.0
603.0,55.0
605.0,57.0
607.0,59.0
610.0,61.0
613.0,64.0
616.0,67.0
619.0,69.0
621.0,70.0
624.0,72.0
627.0,74.0
630.0,75.0
632.0,75.0
635.0,75.0
638.0,75.0
641.0,75.0
