x,y
5.0,157.0
7.0,157.0
9.0,157.0
12.0,156.0
15.0,156.0
16.0,156.0
17.0,156.0
19.0,156.0
22.0,156.0
23.0,156.0
25.0,156.0
28.0,157.0
30.0,157.0
31.0,157.0
34.0,157.0
36.0,157.0
39.0,157.0
42.0,158.0
44.0,159.0
46.0,159.0
49.0,157.0
52.0,156.0
55.0,156.0
58.0,155.0
60.0,153.0
63.0,153.0
64.0,153.0
67.0,153.0
70.0,153.0
73.0,157.0
74.0,158.0
77.0,160.0
80.0,159.0
83.0,159.0
86.0,159.0
89.0,159.0
90.0,162.0
92.0,168.0
95.0,169.0
97.0,135.0
100.0,83.0
103.0,111.0
106.0,157.0
109.0,166.0
111.0,163.0
113.0,160.0
116.0,160.0
119.0,161.0
122.0,160.0
125.0,159.0
126.0,159.0
129.0,160.0
132.0,159.0
134.0,158.0
137.0,158.0
139.0,158.0
142.0,157.0
145.0,156.0
147.0,155.0
150.0,153.0
153.0,150.0
156.0,146.0
158.0,143.0
161.0,139.0
164.0,134.0
167.0,129.0
170.0,127.0
172.0,126.0
175.0,127.0
178.0,132.0
181.0,137.0
182.0,139.0
185.0,145.0
188.0,150.0
191.0,154.0
193.0,156.0
196.0,157.0
199.0,156.0
202.0,156.0
205.0,157.0
208.0,157.0
211.0,156.0
214.0,157.0
217.0,157.0
219.0,157.0
222.0,156.0
223.0,156.0
225.0,156.0
228.0,157.0
230.0,157.0
232.0,157.0
235.0,156.0
238.0,157.0
239.0,157.0
241.0,157.0
243.0,157.0
246.0,156.0
247.0,156.0
250.0,157.0
252.0,157.0
254.0,157.0
257.0,158.0
260.0,159.0
262.0,159.0
265.0,158.0
267.0,157.0
270.0,156.0
271.0,156.0
273.0,156.0
276.0,154.0
279.0,154.0
281.0,154.0
284.0,154.0
287.0,154.0
290.0,157.0
291.0,158.0
294.0,159.0
295.0,159.0
298.0,159.0
301.0,160.0
304.0,159.0
307.0,165.0
309.0,171.0
312.0,159.0
313.0,143.0
316.0,94.0
319.0,121.0
322.0,160.0
325.0,164.0
328.0,160.0
331.0,160.0
333.0,160.0
335.0,160.0
337.0,160.0
339.0,160.0
341.0,160.0
344.0,159.0
345.0,159.0
347.0,159.0
350.0,159.0
353.0,158.0
356.0,157.0
358.0,157.0
361.0,156.0
364.0,154.0
367.0,153.0
370.0,152.0
373.0,148.0
375.0,145.0
378.0,139.0
381.0,135.0
383.0,132.0
386.0,127.0
388.0,126.0
391.0,128.0
393.0,131.0
396.0,136.0
399.0,141.0
401.0,145.0
402.0,147.0
405.0,151.0
408.0,154.0
411.0,154.0
413.0,154.0
416.0,155.0
419.0,156.0
422.0,157.0
424.0,157.0
427.0,156.0
429.0,156.0
431.0,156.0
433.0,156.0
435.0,156.0
438.0,157.0
441.0,156.0
444.0,155.0
445.0,155.0
448.0,156.0
451.0,157.0
452.0,157.0
454.0,157.0
457.0,156.0
458.0,156.0
461.0,157.0
464.0,157.0
467.0,157.0
470.0,156.0
473.0,157.0
476.0,158.0
477.0,158.0
480.0,157.0
483.0,156.0
486.0,156.0
489.0,155.0
491.0,154.0
494.0,153.0
496.0,153.0
499.0,153.0
502.0,153.0
505.0,155.0
508.0,157.0
511.0,158.0
514.0,159.0
517.0,159.0
520.0,160.0
523.0,164.0
525.0,167.0
528.0,154.0
531.0,103.0
534.0,78.0
536.0,111.0
539.0,161.0
542.0,163.0
545.0,159.0
548.0,159.0
550.0,159.0
553.0,160.0
556.0,160.0
559.0,160.0
561.0,160.0
564.0,159.0
567.0,159.0
569.0,159.0
572.0,158.0
575.0,157.0
577.0,156.0
580.0,154.0
583.0,153.0
586.0,151.0
588.0,149.0
591.0,146.0
594.0,142.0
597.0,138.0
600.0,133.0
603.0,129.0
605.0,129.0
608.0,131.0
609.0,132.0
612.0,136.0
614.0,140.0
615.0,142.0
617.0,146.0
619.0,150.0
622.0,152.0
625.0,154.0
628.0,156.0
629.0,156.0
632.0,156.0
635.0,157.0
638.0,157.0
641.0,156.0
