x,y
4.0,137.0
5.0,137.0
8.0,138.0
11.0,139.0
14.0,140.0
17.0,139.0
18.0,138.0
21.0,137.0
24.0,138.0
27.0,139.0
30.0,140.0
33.0,139.0
36.0,137.0
38.0,138.0
40.0,139.0
42.0,140.0
45.0,138.0
48.0,138.0
51.0,140.0
53.0,140.0
56.0,140.0
59.0,139.0
62.0,141.0
65.0,141.0
68.0,138.0
71.0,138.0
74.0,138.0
76.0,137.0
79.0,139.0
82.0,141.0
85.0,139.0
88.0,138.0
89.0,138.0
92.0,142.0
94.0,149.0
97.0,140.0
98.0,128.0
101.0,92.0
104.0,105.0
105.0,110.0
106.0,115.0
109.0,125.0
111.0,131.0
114.0,139.0
117.0,142.0
120.0,139.0
123.0,139.0
125.0,141.0
128.0,138.0
129.0,137.0
132.0,139.0
135.0,141.0
137.0,141.0
140.0,139.0
141.0,138.0
144.0,138.0
147.0,140.0
149.0,139.0
152.0,137.0
155.0,136.0
158.0,136.0
161.0,133.0
163.0,131.0
166.0,131.0
169.0,128.0
170.0,127.0
173.0,127.0
175.0,128.0
178.0,129.0
181.0,132.0
182.0,133.0
185.0,136.0
186.0,136.0
187.0,136.0
189.0,136.0
192.0,137.0
195.0,137.0
198.0,138.0
201.0,139.0
204.0,137.0
207.0,138.0
210.0,140.0
212.0,139.0
215.0,138.0
217.0,138.0
219.0,138.0
221.0,138.0
224.0,139.0
227.0,140.0
230.0,139.0
233.0,138.0
236.0,139.0
239.0,140.0
242.0,139.0
245.0,139.0
248.0,141.0
251.0,139.0
254.0,138.0
257.0,137.0
260.0,138.0
263.0,139.0
264.0,139.0
267.0,139.0
270.0,141.0
273.0,139.0
276.0,140.0
279.0,141.0
282.0,139.0
285.0,137.0
288.0,136.0
291.0,137.0
292.0,137.0
295.0,140.0
296.0,141.0
299.0,142.0
300.0,141.0
303.0,137.0
304.0,137.0
307.0,140.0
310.0,146.0
313.0,148.0
316.0,90.0
319.0,98.0
320.0,102.0
321.0,106.0
324.0,117.0
325.0,121.0
326.0,125.0
327.0,129.0
328.0,133.0
329.0,137.0
332.0,141.0
334.0,141.0
337.0,142.0
340.0,142.0
343.0,140.0
346.0,141.0
349.0,142.0
352.0,141.0
355.0,142.0
358.0,140.0
359.0,139.0
362.0,139.0
364.0,140.0
367.0,139.0
370.0,137.0
372.0,136.0
375.0,135.0
376.0,135.0
379.0,134.0
380.0,133.0
383.0,129.0
386.0,128.0
389.0,128.0
392.0,127.0
395.0,130.0
398.0,135.0
401.0,136.0
402.0,136.0
404.0,136.0
407.0,135.0
410.0,135.0
412.0,137.0
415.0,140.0
418.0,138.0
421.0,137.0
422.0,137.0
425.0,138.0
427.0,138.0
430.0,137.0
433.0,137.0
436.0,139.0
439.0,138.0
441.0,139.0
444.0,141.0
446.0,140.0
449.0,139.0
450.0,139.0
453.0,138.0
456.0,139.0
459.0,140.0
461.0,140.0
464.0,139.0
465.0,139.0
468.0,140.0
470.0,141.0
473.0,139.0
476.0,137.0
478.0,139.0
481.0,140.0
482.0,140.0
484.0,140.0
487.0,139.0
490.0,140.0
491.0,140.0
494.0,139.0
497.0,138.0
500.0,137.0
502.0,137.0
504.0,137.0
507.0,139.0
510.0,141.0
513.0,140.0
515.0,139.0
517.0,138.0
520.0,137.0
523.0,141.0
526.0,152.0
529.0,142.0
531.0,113.0
533.0,84.0
536.0,92.0
538.0,101.0
540.0,110.0
542.0,119.0
545.0,134.0
548.0,141.0
551.0,142.0
553.0,142.0
556.0,141.0
559.0,141.0
562.0,140.0
565.0,140.0
568.0,140.0
571.0,141.0
573.0,142.0
575.0,141.0
577.0,140.0
580.0,141.0
583.0,139.0
586.0,137.0
589.0,138.0
592.0,136.0
595.0,133.0
597.0,131.0
600.0,130.0
601.0,130.0
604.0,129.0
606.0,127.0
609.0,127.0
610.0,128.0
613.0,131.0
616.0,133.0
619.0,133.0
622.0,135.0
625.0,138.0
628.0,139.0
631.0,140.0
634.0,139.0
636.0,138.0
638.0,137.0
641.0,138.0
643.0,139.0
