x,y
3.0,150.0
4.0,150.0
7.0,150.0
10.0,151.0
13.0,152.0
16.0,151.0
18.0,149.0
21.0,149.0
22.0,149.0
25.0,151.0
28.0,152.0
29.0,152.0
32.0,151.0
35.0,149.0
38.0,150.0
41.0,152.0
44.0,151.0
47.0,151.0
50.0,152.0
52.0,151.0
54.0,150.0
56.0,149.0
58.0,148.0
61.0,148.0
63.0,148.0
66.0,146.0
69.0,145.0
70.0,146.0
73.0,150.0
75.0,150.0
78.0,153.0
80.0,155.0
83.0,155.0
86.0,154.0
89.0,154.0
92.0,164.0
93.0,167.0
96.0,155.0
98.0,121.0
99.0,104.0
101.0,80.0
104.0,112.0
105.0,123.0
107.0,145.0
110.0,151.0
113.0,155.0
114.0,156.0
117.0,157.0
120.0,154.0
123.0,154.0
125.0,155.0
128.0,154.0
130.0,153.0
132.0,154.0
135.0,155.0
138.0,153.0
141.0,151.0
144.0,152.0
147.0,153.0
149.0,150.0
152.0,148.0
155.0,146.0
157.0,145.0
160.0,143.0
161.0,142.0
164.0,137.0
166.0,136.0
168.0,133.0
170.0,130.0
173.0,130.0
176.0,132.0
179.0,135.0
182.0,142.0
185.0,144.0
188.0,146.0
190.0,147.0
192.0,148.0
194.0,149.0
197.0,151.0
200.0,152.0
203.0,150.0
206.0,150.0
207.0,151.0
210.0,152.0
212.0,151.0
214.0,150.0
216.0,150.0
219.0,151.0
222.0,151.0
225.0,152.0
228.0,151.0
231.0,150.0
234.0,151.0
235.0,151.0
238.0,151.0
241.0,150.0
244.0,152.0
247.0,154.0
250.0,152.0
253.0,151.0
256.0,151.0
259.0,151.0
262.0,151.0
265.0,151.0
268.0,151.0
271.0,149.0
274.0,148.0
277.0,149.0
280.0,146.0
282.0,144.0
285.0,144.0
288.0,147.0
290.0,149.0
293.0,152.0
296.0,157.0
299.0,155.0
302.0,152.0
305.0,153.0
308.0,161.0
309.0,164.0
312.0,164.0
313.0,146.0
315.0,106.0
316.0,86.0
319.0,103.0
320.0,111.0
323.0,136.0
326.0,146.0
329.0,153.0
332.0,155.0
335.0,157.0
337.0,158.0
340.0,156.0
343.0,154.0
345.0,155.0
348.0,157.0
350.0,156.0
352.0,155.0
354.0,155.0
357.0,153.0
358.0,152.0
361.0,152.0
362.0,153.0
365.0,153.0
366.0,152.0
369.0,148.0
372.0,146.0
375.0,144.0
378.0,141.0
380.0,138.0
383.0,133.0
386.0,132.0
389.0,131.0
392.0,131.0
394.0,134.0
396.0,137.0
399.0,142.0
402.0,144.0
404.0,145.0
407.0,145.0
410.0,148.0
411.0,149.0
414.0,153.0
416.0,152.0
419.0,150.0
421.0,150.0
423.0,150.0
426.0,150.0
429.0,149.0
432.0,150.0
435.0,151.0
437.0,151.0
440.0,153.0
442.0,154.0
445.0,152.0
447.0,151.0
449.0,151.0
452.0,150.0
455.0,151.0
458.0,152.0
461.0,152.0
464.0,151.0
467.0,152.0
470.0,153.0
473.0,150.0
476.0,151.0
477.0,152.0
480.0,153.0
483.0,151.0
486.0,149.0
489.0,149.0
492.0,147.0
494.0,146.0
496.0,145.0
499.0,144.0
501.0,144.0
504.0,147.0
506.0,150.0
508.0,153.0
510.0,155.0
513.0,154.0
516.0,153.0
519.0,152.0
520.0,152.0
523.0,162.0
525.0,169.0
528.0,158.0
529.0,139.0
531.0,100.0
532.0,80.0
535.0,84.0
538.0,114.0
541.0,139.0
544.0,149.0
546.0,154.0
549.0,156.0
551.0,157.0
554.0,156.0
557.0,155.0
560.0,155.0
563.0,155.0
566.0,154.0
569.0,154.0
572.0,155.0
573.0,155.0
576.0,153.0
579.0,152.0
582.0,151.0
585.0,149.0
588.0,148.0
589.0,147.0
592.0,144.0
595.0,140.0
598.0,136.0
600.0,135.0
603.0,133.0
605.0,130.0
608.0,130.0
611.0,134.0
613.0,137.0
616.0,140.0
617.0,141.0
620.0,145.0
621.0,146.0
624.0,149.0
627.0,150.0
629.0,151.0
631.0,151.0
633.0,151.0
636.0,150.0
639.0,149.0
642.0,151.0
