x,y
3.0,137.0
5.0,136.0
8.0,135.0
11.0,134.0
14.0,134.0
17.0,134.0
19.0,134.0
21.0,134.0
23.0,134.0
25.0,134.0
27.0,134.0
30.0,135.0
33.0,134.0
36.0,134.0
39.0,134.0
42.0,135.0
45.0,136.0
48.0,136.0
50.0,135.0
53.0,133.0
56.0,131.0
58.0,130.0
60.0,128.0
61.0,127.0
64.0,123.0
65.0,123.0
68.0,124.0
71.0,129.0
72.0,131.0
75.0,136.0
78.0,138.0
80.0,138.0
83.0,140.0
86.0,142.0
88.0,142.0
91.0,142.0
94.0,147.0
97.0,145.0
99.0,127.0
102.0,100.0
105.0,120.0
107.0,138.0
110.0,152.0
112.0,147.0
115.0,140.0
118.0,141.0
121.0,142.0
123.0,141.0
125.0,140.0
128.0,141.0
130.0,141.0
132.0,140.0
134.0,139.0
136.0,138.0
139.0,137.0
142.0,137.0
145.0,136.0
148.0,135.0
151.0,134.0
153.0,134.0
156.0,132.0
159.0,129.0
161.0,128.0
164.0,126.0
167.0,121.0
170.0,119.0
173.0,117.0
176.0,117.0
178.0,119.0
180.0,121.0
183.0,124.0
184.0,125.0
187.0,129.0
190.0,132.0
192.0,133.0
195.0,134.0
198.0,135.0
201.0,135.0
202.0,135.0
204.0,135.0
207.0,136.0
210.0,137.0
213.0,136.0
216.0,135.0
219.0,135.0
221.0,135.0
223.0,135.0
225.0,135.0
227.0,135.0
229.0,135.0
231.0,135.0
233.0,135.0
235.0,135.0
238.0,134.0
241.0,134.0
242.0,134.0
245.0,135.0
248.0,136.0
251.0,136.0
253.0,136.0
255.0,136.0
257.0,136.0
258.0,136.0
260.0,136.0
262.0,136.0
264.0,136.0
267.0,135.0
270.0,132.0
273.0,129.0
276.0,127.0
278.0,125.0
281.0,123.0
284.0,125.0
286.0,127.0
289.0,131.0
292.0,135.0
295.0,139.0
298.0,140.0
301.0,141.0
303.0,141.0
305.0,140.0
308.0,143.0
311.0,146.0
314.0,137.0
317.0,90.0
320.0,107.0
323.0,146.0
326.0,147.0
327.0,145.0
330.0,139.0
333.0,140.0
336.0,141.0
337.0,141.0
339.0,141.0
341.0,140.0
343.0,139.0
346.0,138.0
347.0,138.0
350.0,139.0
352.0,139.0
354.0,138.0
357.0,137.0
358.0,137.0
360.0,137.0
362.0,137.0
365.0,137.0
368.0,135.0
371.0,133.0
374.0,131.0
376.0,129.0
379.0,126.0
380.0,125.0
383.0,121.0
385.0,119.0
387.0,118.0
390.0,117.0
392.0,117.0
395.0,118.0
398.0,120.0
400.0,123.0
402.0,126.0
405.0,131.0
408.0,133.0
411.0,134.0
414.0,135.0
416.0,136.0
419.0,137.0
420.0,137.0
423.0,136.0
426.0,136.0
429.0,135.0
432.0,136.0
434.0,136.0
437.0,135.0
438.0,135.0
441.0,136.0
444.0,137.0
447.0,136.0
450.0,135.0
451.0,135.0
453.0,135.0
456.0,136.0
458.0,136.0
461.0,135.0
464.0,136.0
465.0,136.0
468.0,135.0
469.0,135.0
471.0,135.0
474.0,135.0
477.0,135.0
480.0,136.0
483.0,135.0
485.0,133.0
488.0,131.0
490.0,130.0
493.0,126.0
494.0,125.0
497.0,125.0
500.0,125.0
503.0,128.0
505.0,131.0
508.0,135.0
509.0,136.0
512.0,138.0
515.0,140.0
518.0,141.0
521.0,141.0
524.0,143.0
527.0,145.0
530.0,135.0
531.0,125.0
534.0,94.0
537.0,114.0
539.0,135.0
542.0,150.0
543.0,147.0
546.0,139.0
548.0,138.0
551.0,139.0
554.0,141.0
556.0,140.0
559.0,139.0
562.0,140.0
564.0,140.0
567.0,139.0
569.0,138.0
572.0,137.0
573.0,137.0
576.0,137.0
579.0,136.0
582.0,135.0
584.0,135.0
587.0,134.0
590.0,131.0
593.0,127.0
596.0,125.0
598.0,124.0
600.0,122.0
603.0,118.0
606.0,117.0
607.0,117.0
610.0,118.0
612.0,120.0
614.0,122.0
617.0,126.0
620.0,129.0
623.0,132.0
625.0,133.0
628.0,134.0
629.0,134.0
632.0,134.0
635.0,135.0
638.0,136.0
640.0,136.0
643.0,135.0
