Sample	Normalized_Value
442	0.7059
443	0.7059
444	0.7059
445	0.7059
446	0.7059
447	0.7059
448	0.7059
449	0.7059
450	0.7059
451	0.7059
452	0.7059
453	0.7059
454	0.7059
455	0.7647
456	0.7647
457	0.7647
458	0.7647
459	0.7647
460	0.7647
461	0.7647
462	0.6765
463	0.6765
464	0.6765
465	0.6765
466	0.6765
467	0.6765
468	0.7647
469	0.7647
470	0.7647
471	0.7647
472	0.7647
473	0.7647
474	0.7647
475	0.7647
476	0.7647
477	0.7647
478	0.7647
479	0.7647
480	0.7647
481	0.7059
482	0.7059
483	0.7059
484	0.7059
485	0.7059
486	0.7059
487	0.7059
488	0.7059
489	0.7059
490	0.7059
491	0.7059
492	0.7059
493	0.7059
494	0.7059
495	0.7059
496	0.7059
497	0.7059
498	0.7059
499	0.7059
500	0.7059
501	0.7059
502	0.7059
503	0.7353
504	0.7353
505	0.7353
506	0.7353
507	0.7059
508	0.7059
509	0.7059
510	0.7059
511	0.7059
512	0.7059
513	0.7059
514	0.7647
515	0.7647
516	0.7647
517	0.7647
518	0.7647
519	0.7647
520	0.7647
521	0.7647
522	0.7647
523	0.7647
524	0.7647
525	0.7647
526	0.6471
527	0.5588
528	0.5000
529	0.3824
530	0.3824
531	0.3824
532	0.3824
533	0.3824
534	0.3824
535	0.3824
536	0.3824
537	0.3824
538	0.3824
539	0.3824
540	0.3824
541	0.3824
542	0.3824
543	0.3824
544	0.3824
545	0.3824
546	0.3824
547	0.3824
548	0.3824
549	0.5294
550	0.6471
551	0.7353
552	0.7941
553	0.8529
554	0.8529
555	0.8529
556	0.8529
557	0.9118
558	0.9118
559	0.9118
560	0.9118
561	0.9118
562	0.9118
563	0.9118
564	0.2647
565	-0.1765
566	-0.5000
567	-0.7059
568	-0.8529
569	-0.9706
570	-0.9706
571	-0.9706
572	-0.9706
573	-0.9706
574	-0.9706
575	-0.9706
576	-0.9706
577	-0.9706
578	-0.4706
579	-0.1176
580	0.1471
581	0.1471
582	0.1471
583	0.1471
584	0.1471
585	0.1471
586	0.1471
587	0.1471
588	0.1471
589	0.1471
590	0.1471
591	0.1471
592	0.1471
593	0.1471
594	0.1471
595	0.1471
596	0.1471
597	0.1471
598	0.1471
599	0.2941
600	0.3824
601	0.4412
602	0.4412
603	0.4412
604	0.4412
605	0.4412
606	0.4412
607	0.4412
608	0.4412
609	0.4412
610	0.5000
611	0.5588
612	0.7059
613	0.7353
614	0.7353
615	0.7353
616	0.7353
617	0.7353
618	0.7353
619	0.6765
620	0.5588
621	0.5588
622	0.5588
623	0.5588
624	0.5588
625	0.5294
626	0.5294
627	0.5294
628	0.5294
629	0.5294
630	0.5294
631	0.5294
632	0.5294
633	0.5294
634	0.5294
635	0.5294
636	0.5294
637	0.5294
638	0.5294
639	0.5294
640	0.5294
641	0.5294
642	0.5294
643	0.5294
644	0.5294
645	0.5294
646	0.5294
647	0.5294
648	0.2059
649	-0.0294
650	-0.1765
651	-0.2941
652	-0.2941
653	-0.2941
654	-0.2941
655	-0.2941
656	-0.2941
657	-0.2941
658	-0.2941
659	-0.2941
660	-0.2941
661	-0.2941
662	-0.2941
663	-0.2941
664	-0.2941
665	-0.2941
666	-0.0294
667	0.1765
668	0.3235
669	0.4118
670	0.4706
671	0.5294
672	0.5294
673	0.5294
674	0.5294
675	0.5882
676	0.6471
677	0.7941
678	0.7941
679	0.7941
680	0.7941
681	0.7941
682	0.7941
683	0.7941
684	0.7941
685	0.7941
686	0.7941
687	0.7941
688	0.8235
689	0.8235
690	0.8235
691	0.8235
692	0.8235
693	0.8235
694	0.8235
695	0.8235
696	0.8235
697	0.8235
698	0.8235
699	0.8235
700	0.7647
701	0.6471
702	0.6471
703	0.6471
704	0.6471
705	0.6471
706	0.6471
707	0.6471
708	0.6471
709	0.6471
710	0.6471
711	0.6471
712	0.6471
713	0.6471
714	0.6471
715	0.6471
716	0.6471
717	0.6471
718	0.6471
719	0.6471
720	0.6471
721	0.6471
722	0.6471
723	0.6471
724	0.6471
725	0.6471
726	0.7059
727	0.7059
728	0.7059
729	0.7059
730	0.7059
731	0.7059
732	0.7059
733	0.7059
734	0.7059
735	0.7059
736	0.7059
737	0.7059
738	0.7059
739	0.7941
740	0.7941
741	0.7941
742	0.7941
743	0.7941
744	0.7941
745	0.7941
746	0.7941
747	0.6471
748	0.6471
749	0.6471
750	0.6471
751	0.6471
752	0.7353
753	0.7353
754	0.7353
755	0.7353
756	0.7353
757	0.7353
758	0.7353
759	0.7353
760	0.7353
761	0.6765
762	0.6765
763	0.6765
764	0.6765
765	0.6765
766	0.7059
767	0.7059
768	0.7059
769	0.7059
770	0.7059
771	0.7059
772	0.7059
773	0.7059
774	0.7059
775	0.7059
776	0.7059
777	0.7059
778	0.7059
779	0.7059
780	0.7059
781	0.7059
782	0.7059
783	0.7059
784	0.7059
785	0.7059
786	0.7059
787	0.7059
788	0.5588
789	0.5588
790	0.5588
791	0.5588
792	0.5588
793	0.5588
794	0.4118
795	0.4118
796	0.4118
797	0.4118
798	0.4118
799	0.4118
800	0.4118
801	0.4118
802	0.4118
803	0.4118
804	0.4118
805	0.4118
806	0.4118
807	0.4118
808	0.4118
809	0.4118
810	0.4118
811	0.4118
812	0.4118
813	0.4118
814	0.4118
815	0.4118
816	0.5588
817	0.6765
818	0.7353
819	0.7941
820	0.8824
821	0.8824
822	0.8824
823	0.9118
824	0.9706
825	0.9706
826	0.9706
827	0.9706
828	0.9706
829	0.9706
830	0.9706
831	0.3235
832	-0.1471
833	-0.4706
834	-0.7059
835	-0.8529
836	-0.9706
837	-0.9706
838	-0.9706
839	-0.9706
840	-0.9706
841	-0.9706
842	-0.9706
843	-0.9706
844	-0.9706
845	-0.9706
846	-0.9706
847	-0.9706
848	-0.9706
849	-0.9706
850	-0.9706
851	-0.9706
852	-0.4412
853	-0.0588
854	0.2059
855	0.3824
856	0.4706
857	0.5294
858	0.5882
859	0.6176
860	0.6176
861	0.6176
862	0.6176
863	0.6176
864	0.6176
865	0.6176
866	0.6176
867	0.6176
868	0.6176
869	0.6176
870	0.6176
871	0.6176
872	0.6176
873	0.6176
874	0.6176
875	0.6176
876	0.7353
877	0.7353
878	0.7353
879	0.7353
880	0.7353
881	0.7353
882	0.7353
883	0.7353
884	0.7353
885	0.7353
886	0.7353
887	0.7353
888	0.6471
889	0.5000
890	0.5000
891	0.5000
892	0.5000
893	0.5000
894	0.5000
895	0.5000
896	0.5000
897	0.5000
898	0.5000
899	0.5000
900	0.5000
901	0.5000
902	0.5000
903	0.5000
904	0.5000
905	0.5000
906	0.5000
907	0.5000
908	0.1765
909	-0.0294
910	-0.1765
911	-0.2941
912	-0.2941
913	-0.3824
914	-0.4706
915	-0.5882
916	-0.5882
917	-0.5882
918	-0.5882
919	-0.5882
920	-0.5882
921	-0.5882
922	-0.5882
923	-0.5882
924	-0.5882
925	-0.5882
926	-0.5882
927	-0.5882
928	-0.5882
929	-0.2353
930	0.0000
931	0.1765
932	0.2941
933	0.3824
934	0.4412
935	0.4412
936	0.4412
937	0.4412
938	0.4412
939	0.5294
940	0.5882
941	0.6471
942	0.6765
943	0.7647
944	0.7647
945	0.7647
946	0.7647
947	0.8529
948	0.8529
949	0.8529
950	0.8529
951	0.8529
952	0.8529
953	0.8529
954	0.8529
955	0.7941
956	0.7941
957	0.7941
958	0.7941
959	0.8529
960	0.8529
961	0.8529
962	0.8529
963	0.8529
964	0.7353
965	0.7353
966	0.7353
967	0.7353
968	0.7353
969	0.7353
970	0.7353
971	0.7353
972	0.7353
973	0.7353
974	0.7353
975	0.7353
976	0.7353
977	0.7353
978	0.6471
979	0.6471
980	0.6471
981	0.6471
982	0.6471
983	0.6471
984	0.7647
985	0.7647
986	0.7647
987	0.7647
988	0.7647
989	0.7647
990	0.7647
991	0.7647
992	0.7647
993	0.7647
994	0.7353
995	0.7353
996	0.7353
997	0.7353
998	0.7353
999	0.7353
1000	0.7059
1001	0.7059
1002	0.7059
1003	0.7059
1004	0.7941
1005	0.7941
1006	0.7941
1007	0.7941
1008	0.7941
1009	0.7941
1010	0.7941
1011	0.7941
1012	0.7941
1013	0.7353
1014	0.7353
1015	0.7353
1016	0.7353
1017	0.7353
1018	0.7647
1019	0.7647
1020	0.7647
1021	0.7647
1022	0.7353
1023	0.7353
1024	0.7353
1025	0.7353
1026	0.7353
1027	0.7647
1028	0.7647
1029	0.7647
1030	0.7647
1031	0.7647
1032	0.6471
1033	0.6471
1034	0.6471
1035	0.6471
1036	0.6471
1037	0.6471
1038	0.6471
1039	0.7059
1040	0.7059
1041	0.7059
1042	0.7059
1043	0.7059
1044	0.7059
1045	0.7059
1046	0.7059
1047	0.7059
1048	0.7059
1049	0.7059
1050	0.6471
1051	0.6471
1052	0.6471
1053	0.6471
1054	0.6471
1055	0.6471
1056	0.6471
1057	0.6471
1058	0.6471
1059	0.6471
1060	0.6471
1061	0.6471
1062	0.6471
1063	0.6471
1064	0.6471
1065	0.6471
1066	0.6471
1067	0.6471
1068	0.6471
1069	0.6471
1070	0.5588
1071	0.4412
1072	0.4412
1073	0.4412
1074	0.4412
1075	0.4412
1076	0.5882
1077	0.5882
1078	0.5882
1079	0.5882
1080	0.5882
1081	0.5882
1082	0.5882
1083	0.6176
1084	0.6471
1085	0.7941
1086	0.7941
1087	0.7941
1088	0.7941
1089	0.7941
1090	0.7941
1091	0.7941
1092	0.7941
1093	0.7941
1094	0.7941
1095	0.7941
1096	0.7941
1097	0.7941
1098	0.7941
1099	0.7941
1100	0.8529
1101	1.0000
1102	1.0000
1103	1.0000
1104	1.0000
1105	1.0000
1106	1.0000
1107	0.3529
1108	-0.0882
1109	-0.4118
1110	-0.6471
1111	-0.7941
1112	-0.9118
1113	-0.9118
1114	-0.9118
1115	-0.9118
1116	-0.9118
1117	-0.9118
1118	-0.9118
1119	-0.9118
1120	-0.9118
1121	-0.9118
1122	-0.9118
1123	-0.9118
1124	-0.9118
1125	-0.9118
1126	-0.9118
1127	-0.4118
1128	-0.0588
1129	0.2059
1130	0.3824
1131	0.4706
1132	0.5588
1133	0.6176
1134	0.6176
1135	0.6176
1136	0.6176
1137	0.6176
1138	0.6765
1139	0.7059
1140	0.8529
1141	0.8529
1142	0.8529
1143	0.8529
1144	0.8235
1145	0.8235
1146	0.8235
1147	0.8235
1148	0.8235
1149	0.8235
1150	0.8235
1151	0.8235
1152	0.8235
1153	0.8235
1154	0.6765
1155	0.6765
1156	0.6765
1157	0.6765
1158	0.6765
1159	0.6765
1160	0.6765
1161	0.6765
1162	0.6176
1163	0.6176
1164	0.6176
1165	0.6176
1166	0.6176
1167	0.6176
1168	0.6176
1169	0.6176
1170	0.6176
1171	0.6176
1172	0.6176
1173	0.6176
1174	0.6176
1175	0.6176
1176	0.6176
1177	0.6176
1178	0.6176
1179	0.6176
1180	0.6176
1181	0.6176
1182	0.6176
1183	0.6176
1184	0.6176
1185	0.2647
1186	0.0294
1187	-0.1471
1188	-0.2647
1189	-0.3824
1190	-0.4706
1191	-0.6176
1192	-0.6176
1193	-0.6176
1194	-0.6176
1195	-0.6176
1196	-0.6176
1197	-0.6176
1198	-0.6176
1199	-0.6176
1200	-0.6176
1201	-0.6176
1202	-0.6176
1203	-0.6176
1204	-0.6176
1205	-0.6176
1206	-0.6176
1207	-0.6176
1208	-0.6176
1209	-0.6176
1210	-0.6176
1211	-0.6176
1212	-0.6176
1213	-0.6176
1214	-0.6176
1215	-0.6176
1216	-0.6176
1217	-0.6176
1218	-0.2353
1219	0.0294
1220	0.2059
1221	0.3529
1222	0.4706
1223	0.5588
1224	0.6176
1225	0.7647
1226	0.7647
1227	0.7647
1228	0.7647
1229	0.7941
1230	0.8529
1231	0.8529
1232	0.8529
1233	0.8529
1234	0.7647
1235	0.7647
1236	0.7647
1237	0.7647
1238	0.7647
1239	0.7647
1240	0.7647
1241	0.7353
1242	0.7353
1243	0.7353
1244	0.7353
1245	0.7353
1246	0.7353
1247	0.7353
1248	0.7353
1249	0.7353
1250	0.7353
1251	0.7353
1252	0.7353
1253	0.7353
1254	0.7059
1255	0.7059
1256	0.7059
1257	0.7059
1258	0.7059
1259	0.7059
1260	0.7059
1261	0.7059
1262	0.7059
1263	0.7059
1264	0.7059
1265	0.7059
1266	0.7059
1267	0.7059
1268	0.7059
1269	0.6471
1270	0.6471
1271	0.6471
1272	0.6471
1273	0.6471
1274	0.6471
1275	0.6471
1276	0.6471
1277	0.6471
1278	0.6471
1279	0.6471
1280	0.6471
1281	0.6471
1282	0.6471
1283	0.6471
1284	0.6471
1285	0.6471
1286	0.6471
1287	0.6471
1288	0.6471
1289	0.6471
1290	0.6471
1291	0.6471
1292	0.6471
1293	0.6471
1294	0.6471
1295	0.6471
1296	0.6471
1297	0.6471
1298	0.6471
1299	0.6471
1300	0.6471
1301	0.6471
1302	0.6471
1303	0.6471
1304	0.6471
1305	0.6471
1306	0.6471
1307	0.6471
1308	0.6471
1309	0.6471
1310	0.6471
1311	0.6471
1312	0.6471
1313	0.6471
1314	0.6471
1315	0.6471
1316	0.6471
1317	0.6471
1318	0.6471
1319	0.6471
1320	0.6471
1321	0.6471
1322	0.6471
1323	0.6471
1324	0.6471
1325	0.6471
1326	0.6471
1327	0.6471
1328	0.6471
1329	0.6471
1330	0.6471
1331	0.6176
1332	0.6176
1333	0.6176
1334	0.6176
1335	0.6176
1336	0.6765
1337	0.6765
1338	0.6765
1339	0.6765
1340	0.6765
1341	0.6765
1342	0.6765
1343	0.6765
1344	0.6765
1345	0.6765
1346	0.6765
1347	0.6765
1348	0.6765
1349	0.6765
1350	0.6765
1351	0.6765
1352	0.6765
1353	0.6765
1354	0.6765
1355	0.6765
1356	0.6765
1357	0.6765
1358	0.6765
1359	0.6765
1360	0.5588
1361	0.4706
1362	0.3235
1363	0.3235
1364	0.3235
1365	0.3235
1366	0.3235
1367	0.3235
1368	0.3235
1369	0.3235
1370	0.3235
1371	0.3235
1372	0.3235
1373	0.3235
1374	0.3235
1375	0.3235
1376	0.3235
1377	0.3235
1378	0.3235
1379	0.3235
1380	0.3235
1381	0.3235
1382	0.3235
1383	0.3235
1384	0.4706
1385	0.5588
1386	0.6471
1387	0.7059
1388	0.7059
1389	0.7941
1390	0.8529
1391	1.0000
1392	1.0000
1393	1.0000
1394	1.0000
1395	1.0000
1396	1.0000
1397	0.3529
1398	-0.0882
1399	-0.4118
1400	-0.6471
1401	-0.7941
1402	-0.9118
1403	-0.9118
1404	-0.9118
1405	-0.9118
1406	-0.9118
1407	-0.9118
1408	-0.9118
1409	-0.9118
1410	-0.9118
1411	-0.9118
1412	-0.9118
